SubjectCode,Experiment,Handiness,Trial_Number,MazeID,Lateralized,Side,Moves,Solution_RT,Obs_No,sVGC_Obs,dVGC_Obs,Orig_RandPos,Aware_ReportObs,Subj_RT,Time_Trial,toremove
S000,VGC_lat_behav,2,22,17,1,2,18,5.529171,2,0.006687,0.068372,5,6,9.913061,25.20706,0
S000,VGC_lat_behav,2,22,17,1,2,18,5.529171,3,1,0.736806,5,7,9.913061,25.20706,0
S000,VGC_lat_behav,2,22,17,1,2,18,5.529171,4,4.50E-05,0.011899,5,2,9.913061,25.20706,0
S000,VGC_lat_behav,2,22,17,1,2,18,5.529171,5,4.50E-05,0.008631,5,2,9.913061,25.20706,0
S000,VGC_lat_behav,2,22,17,1,2,18,5.529171,6,1,0.735882,5,7,9.913061,25.20706,0
S000,VGC_lat_behav,2,23,5,1,1,16,5.846055,1,0.000553,0.070838,5,2,8.236566,23.909767,0
S000,VGC_lat_behav,2,23,5,1,1,16,5.846055,2,0.006687,0.068372,5,7,8.236566,23.909767,0
S000,VGC_lat_behav,2,23,5,1,1,16,5.846055,3,1,0.736806,5,7,8.236566,23.909767,0
S000,VGC_lat_behav,2,23,5,1,1,16,5.846055,4,4.50E-05,0.011899,5,2,8.236566,23.909767,0
S000,VGC_lat_behav,2,23,5,1,1,16,5.846055,5,4.50E-05,0.008631,5,2,8.236566,23.909767,0
S000,VGC_lat_behav,2,23,5,1,1,16,5.846055,6,1,0.735882,5,7,8.236566,23.909767,0
S000,VGC_lat_behav,2,24,13,1,1,22,7.115505,1,4.50E-05,0.010614,5,1,7.822215,24.694588,0
S000,VGC_lat_behav,2,24,13,1,1,22,7.115505,2,1,0.280231,5,6,7.822215,24.694588,0
S000,VGC_lat_behav,2,24,13,1,1,22,7.115505,3,4.50E-05,0.009063,5,1,7.822215,24.694588,0
S000,VGC_lat_behav,2,24,13,1,1,22,7.115505,4,1,0.506131,5,7,7.822215,24.694588,0
S000,VGC_lat_behav,2,24,13,1,1,22,7.115505,5,1,0.116852,5,2,7.822215,24.694588,0
S000,VGC_lat_behav,2,24,13,1,1,22,7.115505,6,1,0.198856,5,7,7.822215,24.694588,0
S000,VGC_lat_behav,2,25,6,1,2,16,5.597637,1,0.993292,0.382299,5,7,8.051739,23.267023,0
S000,VGC_lat_behav,2,25,6,1,2,16,5.597637,2,1,0.294643,5,6,8.051739,23.267023,0
S000,VGC_lat_behav,2,25,6,1,2,16,5.597637,3,4.50E-05,0.011692,5,2,8.051739,23.267023,0
S000,VGC_lat_behav,2,25,6,1,2,16,5.597637,4,4.50E-05,0.011692,5,2,8.051739,23.267023,0
S000,VGC_lat_behav,2,25,6,1,2,16,5.597637,5,0.075783,0.294501,5,7,8.051739,23.267023,0
S000,VGC_lat_behav,2,25,6,1,2,16,5.597637,6,4.50E-05,0.012684,5,2,8.051739,23.267023,0
S000,VGC_lat_behav,2,26,10,0,1,17,4.845722,1,1,0.276225,5,2,9.721214,24.190165,0
S000,VGC_lat_behav,2,26,10,0,1,17,4.845722,2,4.50E-05,0.009518,5,2,9.721214,24.190165,0
S000,VGC_lat_behav,2,26,10,0,1,17,4.845722,3,4.50E-05,0.00832,5,6,9.721214,24.190165,0
S000,VGC_lat_behav,2,26,10,0,1,17,4.845722,4,1,0.340855,5,7,9.721214,24.190165,0
S000,VGC_lat_behav,2,26,10,0,1,17,4.845722,5,4.50E-05,0.008786,5,6,9.721214,24.190165,0
S000,VGC_lat_behav,2,26,10,0,1,17,4.845722,6,1,0.794728,5,7,9.721214,24.190165,0
S000,VGC_lat_behav,2,27,22,0,1,17,5.216433,1,1,0.276225,5,2,8.62695,23.575657,0
S000,VGC_lat_behav,2,27,22,0,1,17,5.216433,2,4.50E-05,0.009518,5,2,8.62695,23.575657,0
S000,VGC_lat_behav,2,27,22,0,1,17,5.216433,3,4.50E-05,0.00832,5,6,8.62695,23.575657,0
S000,VGC_lat_behav,2,27,22,0,1,17,5.216433,4,1,0.340855,5,8,8.62695,23.575657,0
S000,VGC_lat_behav,2,27,22,0,1,17,5.216433,5,4.50E-05,0.008786,5,2,8.62695,23.575657,0
S000,VGC_lat_behav,2,27,22,0,1,17,5.216433,6,1,0.794728,5,8,8.62695,23.575657,0
S000,VGC_lat_behav,2,28,9,1,2,14,4.639202,1,0.999996,0.635068,5,7,9.646272,23.828963,0
S000,VGC_lat_behav,2,28,9,1,2,14,4.639202,2,4.50E-05,0.011048,5,3,9.646272,23.828963,0
S000,VGC_lat_behav,2,28,9,1,2,14,4.639202,3,4.50E-05,0.012972,5,3,9.646272,23.828963,0
S000,VGC_lat_behav,2,28,9,1,2,14,4.639202,4,1,0.358517,5,7,9.646272,23.828963,0
S000,VGC_lat_behav,2,28,9,1,2,14,4.639202,5,4.50E-05,0.010478,5,2,9.646272,23.828963,0
S000,VGC_lat_behav,2,28,9,1,2,14,4.639202,6,4.50E-05,0.011974,5,2,9.646272,23.828963,0
S000,VGC_lat_behav,2,29,12,1,2,15,3.888604,1,4.50E-05,0.009357,5,1,8.871175,22.321213,0
S000,VGC_lat_behav,2,29,12,1,2,15,3.888604,2,4.50E-05,0.00928,5,2,8.871175,22.321213,0
