,grid,obstacle,side,Quad,goal_dist,start_dist,wall_dist,center_dist,lateralized,dVGC,Moves,sVGC,heu_graph,heu_sr,heu_traj,new_sVGC,new_dVGC,spotlightsVGC,VORsVGC
66,grid-011-l,obs-0,R,U,7,11,3,5,1,0.009356546,14,4.54E-05,0,0,0,4.54E-05,0.01150395,4.40E-14,8.46E-09
67,grid-011-l,obs-1,R,L,8,5,1,3,1,0.009279853,14,4.54E-05,0,0,0,0.5000227,0.159521436,2.60E-11,1.31E-05
68,grid-011-l,obs-2,L,U,4,6,3,5,1,0.587238285,14,0.999445852,2.04,0.62500625,1.827,0.999722926,0.448500652,0.000570997,0.339844974
69,grid-011-l,obs-3,R,U,2,11,3,5,1,0.013651354,14,4.54E-05,0,0,0,0.249895513,0.155974385,3.21E-11,9.29E-07
70,grid-011-l,obs-4,L,L,12,1,5,7,1,0.011810722,14,0.499674992,0,0,0,0.749837496,0.160786871,1.99E-05,0.285826648
71,grid-011-l,obs-5,L,L,7,2,1,2,1,0.309763019,14,1,4,1.00001,7.55,0.624930098,0.160154153,1,1
72,grid-000-n,obs-0,R,U,4,11,1,3,0,0.009394053,17,4.54E-05,0,0.135743545,0,0.5000227,0.065916118,4.21E-10,0.001312356
73,grid-000-n,obs-1,L,NaN,12,4,1,3,0,0.011198208,17,4.54E-05,0,0.2500025,0,0.250033973,0.074068133,1.45E-11,5.01E-05
74,grid-000-n,obs-2,L,L,13,1,2,4,0,0.273298494,17,0.999999693,3,1.937519375,2.686,0.500022547,0.137315523,7.37E-07,0.017297007
75,grid-000-n,obs-3,R,L,7,7,4,6,0,0.446808511,17,1,1.79,0.664069141,1.511,0.985460669,0.408971592,7.37E-07,0.017297142
76,grid-000-n,obs-4,R,U,1,15,5,7,0,0.872278213,17,1,0.55,0.285006512,0.939,0.5000227,0.065916118,1,1
77,grid-000-n,obs-5,L,U,8,8,4,6,0,0.007465472,17,4.54E-05,0,0.015625156,0,4.54E-05,0.010820743,1.20E-12,6.14E-06
78,grid-001-n,obs-0,L,U,8,6,1,2,0,0.005551743,17,4.54E-05,0,0,0,4.54E-05,0.005707691,1.43E-07,1.98E-05
79,grid-001-n,obs-1,R,L,3,6,4,6,0,0.733516312,17,0.993290759,1.38,0.37500375,1.52,0.996645336,0.785790032,0.991375943,0.999954381
80,grid-001-n,obs-2,R,L,2,5,1,2,0,0.838063751,17,0.999999912,2.69,1.937519375,2.619,0.998322646,0.733095253,0.99807227,0.999999912
81,grid-001-n,obs-3,L,L,8,1,2,4,0,0.522737197,17,1,4.51,2.00002,14.198,0.750011328,0.472350446,1,1
82,grid-001-n,obs-4,R,U,5,12,4,6,0,0.005426985,17,4.54E-05,0,0,0,4.54E-05,0.005426985,4.70E-09,7.07E-07
83,grid-001-n,obs-5,L,NaN,9,3,1,3,0,0.005863639,17,4.54E-05,0.94,0,1.984,0.25003405,0.135004055,6.81E-08,8.61E-06
84,grid-002-n,obs-0,L,NaN,6,6,1,3,0,0.206502227,16,1,1.13,2.00002,25.311,0.5000227,0.108021408,1,1
85,grid-002-n,obs-1,L,L,10,3,4,6,0,0.009241407,16,4.54E-05,1.08,0.500005,16.728,0.5000227,0.107871817,0.015148936,0.02639983
86,grid-002-n,obs-2,R,NaN,7,9,3,5,0,0.01143541,16,4.54E-05,0,0,0,0.481024392,0.233096204,0.000539411,0.068917834
87,grid-002-n,obs-3,R,U,2,10,3,5,0,0.573100193,16,0.924006768,1.77,0,1.25,0.462026084,0.292267802,0.969881854,0.986899226
88,grid-002-n,obs-4,L,U,2,8,3,5,0,0.009839771,16,4.54E-05,0,0.937509375,0,0.5000227,0.108170999,0.000555017,0.06927674
89,grid-002-n,obs-5,R,L,7,3,1,3,0,0.336413802,16,1,5,0,5.001,0.5000227,0.173924606,1,1
90,grid-003-n,obs-0,L,U,9,4,3,5,0,0.277952106,19,0.776937306,3,0.593755938,25.393,0.391812047,0.202174512,2.56E-10,5.64E-06
91,grid-003-n,obs-1,L,L,11,3,1,3,0,0.012441508,19,4.54E-05,2.8,0,18.783,4.54E-05,0.011257914,6.55E-18,2.10E-11
92,grid-003-n,obs-2,R,NaN,5,9,1,3,0,0.012992018,19,4.54E-05,0,0,37.499,4.54E-05,0.011533169,9.36E-14,3.54E-11
93,grid-003-n,obs-3,L,U,5,7,3,5,0,0.126396917,19,0.006686787,1,0.91797793,6.001,0.391812047,0.202174512,2.70E-10,5.64E-06
94,grid-003-n,obs-4,R,U,1,12,4,6,0,0.860941371,19,1,6,1.182140728,36.879,1,0.860941371,1,1
95,grid-003-n,obs-5,R,L,8,5,1,3,0,0.010074319,19,4.54E-05,0,0,35.164,4.54E-05,0.011395541,1.03E-17,4.14E-12
96,grid-004-n,obs-0,L,U,7,5,2,4,0,0.212418845,19,0.50001135,4,0,13.518,0.625008513,0.250194218,0.999991747,0.999796058
97,grid-004-n,obs-1,L,L,10,2,3,5,0,0.357027912,19,1,4,1.12501125,21.718,0.750005675,0.284723379,1,1
98,grid-004-n,obs-2,R,NaN,3,13,2,4,0,0.007824205,19,4.54E-05,0,0,0,0.250022659,0.185048,2.45E-08,8.95E-05
99,grid-004-n,obs-3,L,U,5,10,2,4,0,0.21891127,19,0.50001135,0,0,0,0.50001135,0.215665058,8.39E-06,0.000669089
100,grid-004-n,obs-4,R,U,1,15,4,6,0,0.008379113,19,4.54E-05,0,0,0,4.54E-05,0.008101659,5.38E-10,2.24E-06
101,grid-004-n,obs-5,R,L,5,7,2,4,0,0.716164475,19,0.999954434,2,1.005869434,2,0.999954434,0.716164475,0.034330474,0.840756472
102,grid-005-n,obs-0,L,U,13,2,4,6,0,0.167886631,18,1,1,0,2,1,0.215026059,1,1
103,grid-005-n,obs-1,R,U,7,8,4,6,0,0.026175558,18,0.000552537,0,0,0,0.375168465,0.251624993,0.000858675,0.117454407
104,grid-005-n,obs-2,R,L,2,9,1,3,0,0.568483926,18,1,2,0.083008643,4,1,0.568483926,1,1
105,grid-005-n,obs-3,L,L,7,4,2,4,0,0.007788253,18,4.54E-05,0,1.078135781,0,0.5000227,0.13497687,0.001289256,0.017354115
106,grid-005-n,obs-4,R,U,8,7,3,5,0,0.385664929,18,0.499568784,2,0,9,0.250060661,0.205920244,0.922990343,0.998399532
107,grid-005-n,obs-5,L,NaN,10,2,1,3,0,0.262165486,18,1,3,1.12501125,13.503,0.75001135,0.175001464,1,1
108,grid-006-n,obs-0,L,U,4,8,2,4,0,0.65956884,16,1,2.12,0,3.659,0.5000227,0.334777146,1,1
109,grid-006-n,obs-1,L,L,10,3,3,5,0,0.203610634,16,0.499625022,0,0,0,0.499625022,0.203610634,0.154513373,0.265823691
110,grid-006-n,obs-2,R,U,6,5,1,3,0,0.282634572,16,1,2,1.00001,38.309,0.5000227,0.145814046,1,1
111,grid-006-n,obs-3,R,U,1,6,2,4,0,0.008266102,16,4.54E-05,0,1.312513125,0,0.5000227,0.145450337,0.814813418,0.796103361
112,grid-006-n,obs-4,L,U,3,10,4,6,0,0.009985452,16,4.54E-05,0,0,0,0.5000227,0.334777146,0.001089374,0.008782511
113,grid-006-n,obs-5,R,L,7,2,2,4,0,0.009720936,16,4.54E-05,2.3,1.2500125,31.108,0.5000227,0.146177754,0.001502316,0.066270242
